Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,YES,adidas,620,
Clothing  Shoes & Jewelry,Men,YES,Amazon Essentials,3,
Clothing  Shoes & Jewelry,Men,YES,ASICS,227,
Clothing  Shoes & Jewelry,Men,YES,Calvin Klein,1547,
Clothing  Shoes & Jewelry,Men,YES,Casio,38,
Clothing  Shoes & Jewelry,Men,YES,Chaco,2,
Clothing  Shoes & Jewelry,Men,YES,Champion,296,
Clothing  Shoes & Jewelry,Men,YES,Citizen,3,
Clothing  Shoes & Jewelry,Men,YES,CLARKS,50,
Clothing  Shoes & Jewelry,Men,YES,Columbia,1064,
Clothing  Shoes & Jewelry,Men,YES,crocs,2,
Clothing  Shoes & Jewelry,Men,YES,Cubavera,256,
Clothing  Shoes & Jewelry,Men,YES,Dockers,535,
Clothing  Shoes & Jewelry,Men,YES,ExOfficio,156,
Clothing  Shoes & Jewelry,Men,YES,French Connection,247,
Clothing  Shoes & Jewelry,Men,YES,Gold Toe,115,
Clothing  Shoes & Jewelry,Men,YES,GUESS,359,
Clothing  Shoes & Jewelry,Men,YES,Haggar,542,
Clothing  Shoes & Jewelry,Men,YES,Hanes,378,
Clothing  Shoes & Jewelry,Men,YES,Hudson Jeans,122,
Clothing  Shoes & Jewelry,Men,YES,HUGO BOSS,533,
Clothing  Shoes & Jewelry,Men,YES,HÚGÓ BÓSS,533,
Clothing  Shoes & Jewelry,Men,YES,Invicta,101,
Clothing  Shoes & Jewelry,Men,YES,IZOD,383,
Clothing  Shoes & Jewelry,Men,YES,Kanu Surf,116,
Clothing  Shoes & Jewelry,Men,YES,Keen,9,
Clothing  Shoes & Jewelry,Men,YES,Kenneth Cole New York,452,
Clothing  Shoes & Jewelry,Men,YES,Kenneth Cole REACTION,472,
Clothing  Shoes & Jewelry,Men,YES,LEE,182,
Clothing  Shoes & Jewelry,Men,YES,Lee,182,
Clothing  Shoes & Jewelry,Men,YES,Levi's,436,
Clothing  Shoes & Jewelry,Men,YES,Lucky Brand,588,
Clothing  Shoes & Jewelry,Men,YES,Merrell,104,
Clothing  Shoes & Jewelry,Men,YES,Nautica,1003,
Clothing  Shoes & Jewelry,Men,YES,New Balance,288,
Clothing  Shoes & Jewelry,Men,YES,O'Neill,504,
Clothing  Shoes & Jewelry,Men,YES,Original Penguin,1039,
Clothing  Shoes & Jewelry,Men,YES,PGA TOUR,137,
Clothing  Shoes & Jewelry,Men,YES,PUMA,426,
Clothing  Shoes & Jewelry,Men,YES,Robert Graham,389,
Clothing  Shoes & Jewelry,Men,YES,Sanuk,2,
Clothing  Shoes & Jewelry,Men,YES,Saucony,21,
Clothing  Shoes & Jewelry,Men,YES,Soffe,67,
Clothing  Shoes & Jewelry,Men,YES,Speedo,30,
Clothing  Shoes & Jewelry,Men,YES,Teva,2,
Clothing  Shoes & Jewelry,Men,YES,Timex,15,
Clothing  Shoes & Jewelry,Men,YES,Tommy Hilfiger,593,
Clothing  Shoes & Jewelry,Men,YES,Under Armour,580,
Clothing  Shoes & Jewelry,Men,YES,UNIONBAY,51,
